video,numFrame,seconds,fps,rfps,subset,featureFrame
46GP8,597.0,24.83,24.043495771244466,24.043495771244466,training,572.1700000000001
N11GT,459.0,18.33,25.040916530278235,25.040916530278235,training,440.67
0IH69,757.0,30.25,25.024793388429753,25.024793388429753,training,726.75
KRF68,869.0,30.33,28.65150016485328,28.65150016485328,training,838.67
MJO7C,785.0,31.38,25.015933715742513,25.015933715742513,training,753.62
S6MPZ,1155.0,38.46,30.03120124804992,30.03120124804992,training,1116.54
7HVU8,889.0,29.62,30.0135043889264,30.0135043889264,training,859.38
MCQO5,630.0,31.58,19.94933502216593,19.94933502216593,training,598.42
VPIYF,309.0,10.29,30.02915451895044,30.02915451895044,training,298.71
JSUF4,509.0,30.54,16.666666666666668,16.666666666666668,training,478.46000000000004
8WJIR,1042.0,34.71,30.020167098818785,30.020167098818785,training,1007.2900000000001
INQNU,185.0,18.46,10.021668472372697,10.021668472372697,training,166.54
LI6LV,1042.0,34.71,30.020167098818785,30.020167098818785,training,1007.2900000000001
MGCM8,922.0,30.75,29.983739837398375,29.983739837398375,training,891.25
I8QJN,928.0,30.92,30.01293661060802,30.01293661060802,training,897.08
XC9EY,759.0,25.29,30.011862396204034,30.011862396204034,training,733.71
DOQ9Y,1240.0,41.29,30.0314846209736,30.0314846209736,training,1198.71
RK9II,1007.0,33.58,29.98808814770697,29.98808814770697,training,973.4200000000001
QGQGZ,989.0,32.92,30.042527339003644,30.042527339003644,training,956.08
5S1WQ,755.0,31.46,23.998728544183088,23.998728544183088,training,723.54
CUCBN,626.0,20.88,29.980842911877396,29.980842911877396,training,605.12
SX0HE,317.0,10.54,30.075901328273247,30.075901328273247,training,306.46
72JYK,694.0,23.12,30.017301038062282,30.017301038062282,training,670.88
BDFDE,526.0,31.54,16.67723525681674,16.67723525681674,training,494.46
H6N4Z,840.0,27.96,30.04291845493562,30.04291845493562,training,812.04
OBTP8,639.0,31.08,20.55984555984556,20.55984555984556,training,607.92
4021N,910.0,30.33,30.00329706561161,30.00329706561161,training,879.6700000000001
ZSHWE,923.0,30.75,30.016260162601625,30.016260162601625,training,892.25
SFDTP,915.0,30.5,30.0,30.0,training,884.5
Q5EPP,1151.0,38.75,29.703225806451613,29.703225806451613,training,1112.25
SK6FW,980.0,32.67,29.996939087848176,29.996939087848176,training,947.3299999999999
VHIG7,837.0,27.88,30.02152080344333,30.02152080344333,training,809.12
0R6K4,910.0,30.33,30.00329706561161,30.00329706561161,training,879.6700000000001
PSPMA,518.0,31.25,16.576,16.576,training,486.75
