,frame-init,frame-end,video-frames,time-init,time-end,video-seconds,score,name
25,349,499,597,14.52,20.75,24.83,0.7061989307403564,46GP8
11,54,460,597,2.25,19.13,24.83,0.7059621214866638,46GP8
20,390,500,597,16.22,20.80,24.83,0.5776217579841614,46GP8
43,59,469,757,2.36,18.74,30.25,0.639305830001831,0IH69
44,130,265,757,5.19,10.59,30.25,0.6048241257667542,0IH69
53,10,92,757,0.40,3.68,30.25,0.5606234073638916,0IH69
84,450,499,785,17.99,19.95,31.38,0.7062734365463257,MJO7C
85,18,78,785,0.72,3.12,31.38,0.5996100902557373,MJO7C
72,7,47,785,0.28,1.88,31.38,0.5914478302001953,MJO7C
107,63,472,889,2.10,15.73,29.62,0.6341490149497986,7HVU8
105,109,223,889,3.63,7.43,29.62,0.6091564893722534,7HVU8
121,357,501,889,11.89,16.69,29.62,0.5794812440872192,7HVU8
145,161,309,309,5.36,10.29,10.29,0.7973334789276123,VPIYF
128,166,309,309,5.53,10.29,10.29,0.76043301820755,VPIYF
139,39,309,309,1.30,10.29,10.29,0.712607741355896,VPIYF
188,210,482,1042,7.00,16.06,34.71,0.7001603841781616,8WJIR
171,51,456,1042,1.70,15.19,34.71,0.6792528629302979,8WJIR
160,146,487,1042,4.86,16.22,34.71,0.6584410667419434,8WJIR
220,248,429,1042,8.26,14.29,34.71,0.6881939172744751,LI6LV
203,60,467,1042,2.00,15.56,34.71,0.6388363242149353,LI6LV
194,202,262,1042,6.73,8.73,34.71,0.6147701740264893,LI6LV
251,294,362,928,9.80,12.06,30.92,0.5361982583999634,I8QJN
252,282,423,928,9.40,14.09,30.92,0.47867926955223083,I8QJN
253,269,339,928,8.96,11.30,30.92,0.4696187376976013,I8QJN
267,74,477,1240,2.46,15.88,41.29,0.6861872673034668,DOQ9Y
284,240,455,1240,7.99,15.15,41.29,0.6742699146270752,DOQ9Y
256,176,432,1240,5.86,14.38,41.29,0.6191646456718445,DOQ9Y
299,44,446,989,1.46,14.85,32.92,0.695834755897522,QGQGZ
316,237,454,989,7.89,15.11,32.92,0.6708207130432129,QGQGZ
288,174,446,989,5.79,14.85,32.92,0.6468666791915894,QGQGZ
331,78,478,626,2.60,15.94,20.88,0.7002677917480469,CUCBN
320,166,472,626,5.54,15.74,20.88,0.5633738040924072,CUCBN
348,243,468,626,8.11,15.61,20.88,0.5493409037590027,CUCBN
357,45,202,694,1.50,6.73,23.12,0.7991987466812134,72JYK
356,40,158,694,1.33,5.26,23.12,0.7475845217704773,72JYK
363,43,452,694,1.43,15.06,23.12,0.60527503490448,72JYK
412,222,483,840,7.39,16.08,27.96,0.6439783573150635,H6N4Z
395,53,460,840,1.76,15.31,27.96,0.6217508316040039,H6N4Z
389,33,232,840,1.10,7.72,27.96,0.6200116872787476,H6N4Z
441,371,495,910,12.37,16.50,30.33,0.6800509691238403,4021N
436,424,498,910,14.13,16.60,30.33,0.6618185043334961,4021N
427,84,477,910,2.80,15.90,30.33,0.616418719291687,4021N
459,52,460,915,1.73,15.33,30.50,0.6510365009307861,SFDTP
473,356,504,915,11.87,16.80,30.50,0.6276673078536987,SFDTP
468,409,502,915,13.63,16.73,30.50,0.5895236730575562,SFDTP
491,68,472,980,2.27,15.73,32.67,0.6919076442718506,SK6FW
508,235,452,980,7.83,15.07,32.67,0.6799781918525696,SK6FW
480,194,400,980,6.47,13.33,32.67,0.6162821650505066,SK6FW
523,53,454,910,1.77,15.13,30.33,0.7506871223449707,0R6K4
540,251,494,910,8.37,16.46,30.33,0.7009996175765991,0R6K4
516,16,172,910,0.53,5.73,30.33,0.6565175652503967,0R6K4
572,211,495,1190,7.18,16.85,40.50,0.7140780687332153,MD41D
544,161,493,1190,5.48,16.78,40.50,0.7117810249328613,MD41D
555,71,477,1190,2.42,16.23,40.50,0.7076197862625122,MD41D
587,62,460,511,4.12,30.53,33.92,0.7403056621551514,S673O
601,344,501,511,22.83,33.26,33.92,0.7079874873161316,S673O
604,253,495,511,16.79,32.86,33.92,0.6617656946182251,S673O
637,265,339,997,8.99,11.50,33.83,0.7230960726737976,N915C
614,250,315,997,8.48,10.69,33.83,0.6942999362945557,N915C
636,297,413,997,10.08,14.01,33.83,0.6539981365203857,N915C
661,15,56,917,0.50,1.87,30.58,0.6968994140625,P68QV
665,352,500,917,11.74,16.67,30.58,0.6683003902435303,P68QV
648,9,41,917,0.30,1.37,30.58,0.6582441926002502,P68QV
679,355,407,421,23.51,26.95,27.88,0.5923016667366028,0VOQC
698,91,146,421,6.03,9.67,27.88,0.5872981548309326,0VOQC
680,5,36,421,0.33,2.38,27.88,0.5779050588607788,0VOQC
732,231,494,1162,7.70,16.47,38.75,0.7642477750778198,G99VH
715,62,466,1162,2.07,15.54,38.75,0.7254363298416138,G99VH
704,167,503,1162,5.57,16.77,38.75,0.702079176902771,G99VH
747,92,487,971,3.06,16.21,32.33,0.6208779215812683,H603E
764,237,479,971,7.89,15.95,32.33,0.5562289357185364,H603E
761,343,502,971,11.42,16.71,32.33,0.5466614961624146,H603E
794,92,157,916,3.06,5.23,30.50,0.6134033203125,PN4MI
793,376,491,916,12.52,16.35,30.50,0.5609227418899536,PN4MI
773,47,177,916,1.56,5.89,30.50,0.5532177090644836,PN4MI
820,428,499,763,17.81,20.76,31.75,0.7153115272521973,FI1LR
825,380,500,763,15.81,20.81,31.75,0.6545215845108032,FI1LR
811,82,484,763,3.41,20.14,31.75,0.615425705909729,FI1LR
849,173,282,282,7.18,11.71,11.71,0.6686713695526123,7XNAI
844,126,256,282,5.23,10.63,11.71,0.6242348551750183,7XNAI
843,54,282,282,2.24,11.71,11.71,0.6161455512046814,7XNAI
884,419,498,891,13.97,16.61,29.71,0.6937553286552429,OI3BC
889,374,496,891,12.47,16.54,29.71,0.6816612482070923,OI3BC
875,58,462,891,1.93,15.41,29.71,0.6537241339683533,OI3BC
902,231,300,895,7.70,10.00,29.83,0.6704164743423462,83654
917,27,94,895,0.90,3.13,29.83,0.666008472442627,83654
900,37,125,895,1.23,4.17,29.83,0.6490959525108337,83654
945,162,340,941,5.39,11.32,31.33,0.7031866312026978,0R5GS
939,42,440,941,1.40,14.65,31.33,0.6624010801315308,0R5GS
928,174,433,941,5.79,14.42,31.33,0.6384351253509521,0R5GS
971,49,275,275,3.25,18.25,18.25,0.7211710214614868,N2OCX
960,156,275,275,10.35,18.25,18.25,0.6064784526824951,N2OCX
988,254,275,275,16.86,18.25,18.25,0.6057696342468262,N2OCX
1003,84,375,375,2.80,12.50,12.50,0.6337563395500183,R7107
1017,342,375,375,11.40,12.50,12.50,0.5698387622833252,R7107
1020,265,375,375,8.83,12.50,12.50,0.4631674885749817,R7107
1052,223,494,1354,7.56,16.75,45.92,0.7712886333465576,QLWQ4
1024,170,501,1354,5.77,16.99,45.92,0.760623574256897,QLWQ4
1035,67,469,1354,2.27,15.91,45.92,0.700319766998291,QLWQ4
1081,373,496,819,14.90,19.81,32.71,0.648552417755127,U1DTW
1067,91,485,819,3.63,19.37,32.71,0.5099058151245117,U1DTW
1065,133,186,819,5.31,7.43,32.71,0.464163601398468,U1DTW
1100,134,272,743,4.50,9.14,24.96,0.6040569543838501,2PREF
1095,311,411,743,10.45,13.81,24.96,0.559558629989624,2PREF
1099,65,474,743,2.18,15.92,24.96,0.495839923620224,2PREF
1137,184,293,824,10.31,16.42,46.17,0.7347296476364136,R2DA8
1145,350,506,824,19.61,28.35,46.17,0.6687314510345459,R2DA8
1148,226,500,824,12.66,28.02,46.17,0.6597723960876465,R2DA8
1163,51,458,693,2.04,18.29,27.67,0.6722711324691772,U3OJV
1172,428,499,693,17.09,19.92,27.67,0.5940529704093933,U3OJV
1173,6,116,693,0.24,4.63,27.67,0.5349392890930176,U3OJV
1184,187,478,536,12.43,31.77,35.62,0.8313618898391724,T1CQE
1212,222,473,536,14.75,31.43,35.62,0.8302613496780396,T1CQE
1191,258,479,536,17.15,31.83,35.62,0.739672064781189,T1CQE
1224,9,47,767,0.30,1.57,25.54,0.7002958655357361,3ZKDY
1222,251,296,767,8.36,9.86,25.54,0.6980494260787964,3ZKDY
1237,17,68,767,0.57,2.26,25.54,0.6910799741744995,3ZKDY
1273,360,500,617,11.98,16.65,20.54,0.6036017537117004,0TQZQ
1268,414,500,617,13.78,16.65,20.54,0.5819001197814941,0TQZQ
1259,93,490,617,3.10,16.31,20.54,0.540641725063324,0TQZQ
1297,217,290,934,7.38,9.86,31.75,0.7423467636108398,R00LO
1305,382,497,934,12.99,16.89,31.75,0.6959831714630127,R00LO
1288,10,45,934,0.34,1.53,31.75,0.6486068964004517,R00LO
1323,65,468,840,2.17,15.60,28.00,0.6248584985733032,2WGSN
1340,220,486,840,7.33,16.20,28.00,0.5766283869743347,2WGSN
1336,20,396,840,0.67,13.20,28.00,0.5225024223327637,2WGSN
1369,358,457,457,11.92,15.21,15.21,0.7436062097549438,EDVAM
1351,328,411,457,10.92,13.68,15.21,0.6979129314422607,EDVAM
1356,128,230,457,4.26,7.65,15.21,0.6565506458282471,EDVAM
1397,35,69,953,1.17,2.30,31.75,0.7326310873031616,FDYQZ
1396,452,497,953,15.06,16.56,31.75,0.7318263053894043,FDYQZ
1401,425,458,953,14.16,15.26,31.75,0.7292554378509521,FDYQZ
